t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
1766.2,796000.0,89.51813676050533,754956.2423888932,749229.0318486972
1766.3,796000.0,89.45047263922528,753804.2185727446,748163.6460202492
1766.4,796000.0,89.46094411602198,753982.5019884135,748328.5216259777
1766.5,792000.0,89.58007142307574,756010.7186013444,750204.2061440838
1766.6,792000.0,89.64987139072616,757199.1065324736,751303.2213230899
1766.7,792000.0,89.50465607854763,754726.7253807741,749016.775674467
1766.8,793000.0,89.57902734102359,755992.9424539958,750187.7668524615
1766.9,793000.0,89.52328135008314,755043.8322312767,749310.0344942012
1767.0,793000.0,89.37016189960183,752436.8782010905,746899.1365246943
1767.1,793000.0,89.33519172887334,751841.4892597748,746348.5238276294
1767.2,799000.0,89.53690609476037,755275.8019969396,749524.5589662662
1767.3,799000.0,89.54646532299391,755438.5538125355,749675.0710263986
1767.4,799000.0,89.5385386822643,755303.5978162142,749550.2644000689
1767.5,799000.0,89.33164510469662,751781.105773797,746292.6814836334
1767.6,799000.0,89.44935199726218,753785.1389452191,748146.0012767182
1767.7,799000.0,89.5192497534726,754975.1917874997,749246.5561571794
1767.8,799000.0,89.43701285131989,753575.0572988824,747951.7188272697
1767.9,799000.0,89.58457727316933,756087.4335061065,750275.1517019956
1768.0,799000.0,89.6889468240581,757864.3901269862,751918.472243737
1768.1,799000.0,89.67732714336991,757666.557824791,751735.5179261148
1768.2,799000.0,89.69262120467914,757926.9487460142,751976.3261398331
1768.3,799000.0,89.56346431383916,755727.972221195,749942.7237144383
1768.4,799000.0,89.70703812404192,758172.4057791834,752203.3235690233
1768.5,799000.0,89.73447195046481,758639.4837639318,752635.2749390865
1768.6,799000.0,89.69326784656819,757937.9582270007,751986.5076524522
1768.7,799000.0,89.54300472974502,755379.6350566971,749620.5832574652
1768.8,799000.0,89.57746815683484,755966.3963718887,750163.2171693027
1768.9,799000.0,89.64706739971848,757151.3668388219,751259.0718946164
1769.0,799000.0,89.71106579590024,758240.9794016089,752266.7401099952
1769.1,799000.0,89.58025620013122,756013.8645458207,750207.115497706
1769.2,794000.0,89.64117884464653,757051.1105204474,751166.3553558511
1769.3,794000.0,89.67361122392704,757603.2919814445,751677.0099925275
1769.4,794000.0,89.66118750660442,757391.7704546738,751481.395948899
1769.5,788000.0,89.64151420429278,757056.8202273371,751171.6356640526
1769.6,788000.0,89.79286030648812,759633.5818982476,753554.6118916224
1769.7,788000.0,89.75348072117454,758963.1199267763,752934.5720340204
1769.8,788000.0,89.61672585521866,756634.7831424514,750781.3378915465
1769.9,785000.0,89.45650868862312,753906.9860738991,748258.6848882139
1770.0,785000.0,89.68185794184537,757743.6974912959,751806.8563015491
1770.1,785000.0,89.65350781852842,757261.0189811194,751360.477644068
1770.2,785000.0,89.58112374483683,756028.6350348706,750220.7751716576
1770.3,785000.0,89.65521368194821,757290.0623685087,751387.3368225859
1770.4,785000.0,89.70124409535813,758073.7588314526,752112.0953681311
1770.5,788000.0,89.52867023088558,755135.5812839409,749394.8835564442
1770.6,788000.0,89.50435589125662,754721.6145051431,749012.0491624004
1770.7,788000.0,89.6250067709133,756775.7708907479,750911.7226517524
1770.8,799000.0,89.61058612359274,756530.250386775,750684.6665250824
1770.9,799000.0,89.44791586766335,753760.6879441624,748123.3891139727
1771.0,799000.0,89.58760054218489,756138.9065444414,750322.7537088469
1771.1,799000.0,89.5388669626156,755309.1869936972,749555.4332432819
1771.2,806000.0,89.7197013086355,758388.0043854185,752402.7080752256
1771.3,806000.0,89.68702627328112,757831.6915536011,751888.2327676024
1771.4,806000.0,89.71963799441686,758386.9264214044,752401.7111795293
1771.5,814000.0,89.75882349792165,759054.0840291779,753018.6951782105
1771.6,814000.0,89.81457937885538,760003.3626351934,753896.5832564961
1771.7,814000.0,89.69567653561354,757978.9676584904,752024.4329683436
1771.8,814000.0,89.61713307540958,756641.7163198795,750787.749659146
1771.9,814000.0,89.74381436108936,758798.5441246682,752782.3731603397
1772.0,814000.0,89.91671649472113,761742.3106591108,755504.7536390175
1772.1,814000.0,89.67430587494502,757615.1188477585,751687.9474189845
1772.2,814000.0,89.66085558301066,757386.1192487183,751476.1697420669
1772.3,814000.0,89.67149270117933,757567.2228119313,751643.6534060538
1772.4,809000.0,89.6576505888123,757331.5522259406,751425.7064339712
1772.5,809000.0,89.64658555838636,757143.1631899797,751251.4852014461
1772.6,809000.0,89.61016808710143,756523.1330550946,750678.0844525571
1772.7,811000.0,89.49382818231571,754542.3737021892,748846.2881697281
1772.8,811000.0,89.60270682841391,756396.1004779497,750560.605364413
1772.9,811000.0,89.81334501683727,759982.3468528895,753877.1479667681
1773.0,811000.0,89.8084955581511,759899.7817977876,753800.7922192588
1773.1,819000.0,89.93665107475363,762081.7093024082,755818.627796561
1773.2,819000.0,90.001308874231,763182.5486170782,756836.6784555907
1773.3,819000.0,89.87361115789177,761008.4154471271,754826.0510397714
1773.4,819000.0,89.914675835093,761707.5671577135,755472.6230237468
1773.5,821000.0,89.75208933534056,758939.4307161891,752912.6643712681
1773.6,821000.0,89.72115124553235,758412.6904643252,752425.5376367837
1773.7,821000.0,89.86530779558994,760867.04553136,754695.3128530118
1773.8,821000.0,89.92463891261974,761877.1947591039,755629.4937759845
1773.9,814000.0,89.79203421203387,759619.5171255483,753541.604860601
1774.0,814000.0,90.0185747562056,763476.5110134748,757108.533400625
1774.1,814000.0,89.94463695861519,762217.6739499567,755944.36721847
1774.2,814000.0,90.13420581785714,765445.201870447,758929.1687991412
1774.3,809000.0,89.93653343790012,762079.7064616955,755816.7755795475
1774.4,809000.0,90.10389863348442,764929.2031766449,758451.9758035031
1774.5,809000.0,89.89972965352277,761453.0991057584,755237.292249725
1774.6,809000.0,89.91302664640837,761679.4886929956,755446.6562008602
1774.7,809000.0,90.06522398994066,764270.7432779483,757843.0354024114
1774.8,809000.0,90.28255816184162,767970.9929428564,761265.0076736899
1774.9,809000.0,90.01487143452124,763413.4596548148,757050.2238213967
1775.0,809000.0,90.10703340833201,764982.5746712328,758501.3334931445
1775.1,809000.0,90.10355314510939,764923.3210218381,758446.5360163355
